                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.98159,                0.62788,                  1.284,                0.93096,                0.87561,                0.94282,                0.62921,                 1.1718,                0.60567,                 1.4033,              0.0013466,              0.0013466,              0.0013466
                     36,                0.91596,                0.57393,                 1.2316,                0.98156,                0.90909,                0.96124,                0.62443,                 1.3283,                0.57324,                 1.4627,              0.0013268,              0.0013268,              0.0013268
                     37,                0.93163,                0.56668,                 1.2481,                0.97217,                0.90736,                0.95236,                0.64893,                 1.2541,                0.60763,                 1.3742,               0.001307,               0.001307,               0.001307
                     38,                0.91573,                0.54947,                 1.2187,                0.99392,                0.96104,                0.97913,                 0.7514,                0.97108,                0.49999,                 1.2237,              0.0012872,              0.0012872,              0.0012872
                     39,                0.91223,                0.53985,                 1.2214,                0.99841,                0.92208,                0.97699,                0.74939,                 0.9855,                0.50903,                 1.2499,              0.0012674,              0.0012674,              0.0012674
                     40,                0.91977,                0.57358,                 1.2207,                      1,                0.93345,                0.97635,                0.73324,                0.94002,                0.46846,                 1.2076,              0.0012476,              0.0012476,              0.0012476
                     41,                0.87755,                0.53592,                 1.1963,                0.97184,                0.89625,                0.96191,                0.72535,                0.97652,                0.47307,                 1.2049,              0.0012278,              0.0012278,              0.0012278
                     42,                0.90027,                0.55623,                 1.2062,                      1,                0.92121,                0.97143,                0.67372,                 1.0983,                0.53379,                 1.2939,               0.001208,               0.001208,               0.001208
                     43,                0.84596,                0.52475,                 1.1941,                      1,                0.93293,                0.97325,                0.73244,                0.97285,                0.51293,                 1.2163,              0.0011882,              0.0011882,              0.0011882
                     44,                0.85193,                0.50693,                 1.1897,                0.97322,                0.94391,                0.97995,                0.75432,                0.92045,                0.45492,                 1.2329,              0.0011684,              0.0011684,              0.0011684
                     45,                0.86667,                0.52073,                 1.1879,                 0.9834,                0.96104,                0.98341,                0.77191,                0.86522,                 0.4321,                 1.1628,              0.0011486,              0.0011486,              0.0011486
                     46,                0.86833,                0.51109,                 1.2063,                0.98441,                0.92208,                0.97145,                0.70153,                 1.0524,                0.50185,                 1.3062,              0.0011288,              0.0011288,              0.0011288
                     47,                0.84585,                0.49831,                 1.1663,                0.99246,                0.90909,                0.95099,                0.71784,                0.92655,                0.49375,                 1.2575,               0.001109,               0.001109,               0.001109
                     48,                0.82909,                0.49679,                 1.1638,                0.94727,                0.94805,                0.95939,                0.71402,                 1.0317,                0.49634,                 1.2693,              0.0010892,              0.0010892,              0.0010892
                     49,                0.84549,                0.50377,                 1.1898,                 0.9828,                0.92208,                0.95546,                0.73127,                0.95864,                0.46745,                 1.2384,              0.0010694,              0.0010694,              0.0010694
                     50,                0.83591,                0.49016,                 1.1825,                0.98609,                0.92067,                0.95243,                0.73887,                0.93709,                0.48187,                 1.2089,              0.0010496,              0.0010496,              0.0010496
                     51,                0.88208,                0.50071,                 1.2168,                0.98102,                0.93506,                  0.959,                0.68247,                 1.1305,                0.55523,                 1.2997,              0.0010298,              0.0010298,              0.0010298
                     52,                0.84494,                0.49039,                 1.1663,                0.98608,                0.92018,                 0.9704,                0.69364,                 1.1253,                0.50209,                 1.3126,                0.00101,                0.00101,                0.00101
                     53,                 0.7978,                0.47636,                 1.1493,                0.95849,                0.94805,                 0.9815,                0.76935,                0.82954,                0.43007,                 1.1394,              0.0009902,              0.0009902,              0.0009902
                     54,                0.80624,                0.48117,                 1.1492,                      1,                0.90603,                0.97777,                 0.7616,                0.85753,                0.44964,                 1.1806,              0.0009704,              0.0009704,              0.0009704
                     55,                0.78491,                0.47149,                 1.1238,                0.98382,                0.92208,                0.96264,                0.73805,                0.88929,                0.43775,                 1.2091,              0.0009506,              0.0009506,              0.0009506
                     56,                0.83166,                0.48825,                 1.1671,                      1,                 0.9341,                0.96787,                 0.7301,                0.90026,                 0.4693,                 1.2086,              0.0009308,              0.0009308,              0.0009308
                     57,                0.82621,                0.47485,                 1.1634,                      1,                0.93488,                0.96578,                0.72633,                0.99848,                0.48755,                  1.242,               0.000911,               0.000911,               0.000911
                     58,                0.78225,                0.45797,                 1.1445,                0.98609,                0.92052,                0.96774,                0.71795,                 1.0445,                0.46911,                 1.2533,              0.0008912,              0.0008912,              0.0008912
                     59,                0.80794,                0.45776,                 1.1488,                0.95999,                0.93487,                0.97751,                0.72373,                 1.0378,                0.46323,                 1.2609,              0.0008714,              0.0008714,              0.0008714
                     60,                0.81178,                 0.4723,                 1.1751,                 0.9731,                0.94805,                0.94651,                0.74374,                 0.8757,                0.40244,                 1.2054,              0.0008516,              0.0008516,              0.0008516
                     61,                0.75978,                0.44232,                 1.1297,                      1,                0.92151,                0.95815,                0.75138,                0.86362,                 0.4693,                 1.1652,              0.0008318,              0.0008318,              0.0008318
                     62,                  0.752,                0.50208,                 1.1218,                0.99829,                0.92208,                0.95832,                0.73901,                0.89548,                 0.4497,                 1.1847,               0.000812,               0.000812,               0.000812
                     63,                0.77868,                 0.4604,                 1.1297,                 0.9823,                0.90909,                 0.9429,                0.71931,                0.99495,                0.48151,                  1.227,              0.0007922,              0.0007922,              0.0007922
                     64,                0.75568,                0.45295,                 1.1101,                0.98743,                0.92208,                0.95619,                0.73735,                0.95408,                0.45441,                 1.2082,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.7412,                0.43242,                 1.1084,                0.99975,                0.93506,                0.97045,                0.76517,                0.91339,                0.42639,                 1.2104,              0.0007526,              0.0007526,              0.0007526
                     66,                0.76266,                0.45666,                 1.1158,                0.99945,                0.92208,                0.97524,                 0.7606,                0.90368,                  0.424,                 1.2071,              0.0007328,              0.0007328,              0.0007328
                     67,                0.74438,                0.43813,                 1.1238,                      1,                0.93395,                0.96799,                0.75196,                0.86187,                0.44228,                 1.1771,               0.000713,               0.000713,               0.000713
                     68,                 0.7525,                0.44906,                 1.1377,                      1,                0.93432,                0.96755,                0.75698,                0.88408,                0.45816,                 1.2019,              0.0006932,              0.0006932,              0.0006932
                     69,                0.73944,                 0.4255,                 1.1274,                0.96878,                0.94805,                 0.9513,                0.74916,                0.86663,                0.51311,                 1.1826,              0.0006734,              0.0006734,              0.0006734
                     70,                0.75257,                0.44183,                   1.12,                0.98646,                0.94646,                0.95799,                0.76032,                0.88766,                0.45806,                 1.2145,              0.0006536,              0.0006536,              0.0006536
                     71,                0.72694,                0.41618,                 1.1007,                0.98627,                0.93305,                0.95814,                0.75994,                 0.8629,                0.44915,                 1.1815,              0.0006338,              0.0006338,              0.0006338
                     72,                0.73221,                0.42576,                 1.1124,                      1,                0.93241,                0.95804,                0.75851,                 0.8833,                 0.4372,                 1.1872,               0.000614,               0.000614,               0.000614
                     73,                0.74964,                 0.4256,                 1.1242,                0.98441,                0.93506,                0.95726,                0.74621,                0.91476,                0.46537,                 1.2177,              0.0005942,              0.0005942,              0.0005942
                     74,                0.70841,                 0.4339,                 1.1031,                 0.9841,                0.90909,                0.94875,                0.72486,                 0.9446,                0.51235,                 1.2464,              0.0005744,              0.0005744,              0.0005744
                     75,                0.72539,                0.43255,                 1.1164,                0.98488,                0.93506,                 0.9463,                0.75127,                0.89543,                0.43659,                 1.2069,              0.0005546,              0.0005546,              0.0005546
                     76,                0.69802,                0.41335,                 1.1044,                0.99626,                0.94805,                  0.964,                0.75434,                0.87616,                0.42021,                 1.1957,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.7044,                0.41047,                 1.0954,                      1,                0.94723,                0.97849,                0.76175,                0.88267,                0.41263,                 1.2197,               0.000515,               0.000515,               0.000515
                     78,                0.71588,                0.42348,                 1.1022,                0.98648,                0.94732,                0.96844,                0.76047,                0.85105,                0.41349,                  1.215,              0.0004952,              0.0004952,              0.0004952
                     79,                 0.7054,                0.40034,                 1.0962,                0.98609,                0.92061,                0.95694,                0.75118,                0.90121,                0.43858,                 1.2172,              0.0004754,              0.0004754,              0.0004754
                     80,                0.70282,                0.39934,                 1.0906,                0.98627,                0.93319,                0.95269,                0.75779,                0.88006,                0.42057,                  1.188,              0.0004556,              0.0004556,              0.0004556
                     81,                0.66427,                0.38724,                 1.0774,                      1,                0.94691,                 0.9597,                0.74304,                0.92193,                0.43508,                 1.2045,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.7107,                0.42087,                 1.1074,                0.97017,                0.92208,                0.95518,                0.76465,                0.86617,                0.41714,                 1.1932,               0.000416,               0.000416,               0.000416
                     83,                0.66045,                  0.394,                 1.0741,                0.98609,                0.92099,                0.96496,                0.77695,                0.88908,                0.40009,                 1.2106,              0.0003962,              0.0003962,              0.0003962
                     84,                0.67193,                0.37986,                 1.0721,                0.98563,                0.94805,                0.97168,                0.77588,                0.89025,                0.41411,                 1.1787,              0.0003764,              0.0003764,              0.0003764
                     85,                0.70544,                0.39748,                 1.1067,                      1,                0.94695,                0.97954,                0.77457,                0.87688,                0.41584,                 1.1928,              0.0003566,              0.0003566,              0.0003566
                     86,                0.65195,                0.38832,                  1.064,                      1,                0.94662,                 0.9796,                0.76473,                0.88375,                0.39524,                 1.1931,              0.0003368,              0.0003368,              0.0003368
                     87,                0.65728,                0.38121,                 1.0709,                0.98626,                0.93506,                0.95705,                 0.7679,                 0.8808,                0.41059,                 1.1899,               0.000317,               0.000317,               0.000317
                     88,                0.64576,                 0.3823,                 1.0689,                      1,                0.93432,                0.96276,                0.76096,                0.87365,                0.42708,                 1.2015,              0.0002972,              0.0002972,              0.0002972
                     89,                0.64938,                 0.3822,                 1.0623,                0.99974,                0.93506,                 0.9692,                0.76458,                0.85298,                0.41905,                 1.2009,              0.0002774,              0.0002774,              0.0002774
                     90,                0.62671,                0.35966,                  1.043,                      1,                0.93451,                0.95971,                0.77101,                0.85865,                0.41555,                 1.1834,              0.0002576,              0.0002576,              0.0002576
                     91,                0.58475,                 0.3217,                 1.0698,                0.99987,                0.93506,                 0.9557,                0.75886,                0.84199,                0.39324,                 1.1789,              0.0002378,              0.0002378,              0.0002378
                     92,                 0.5524,                0.28279,                 1.0549,                0.99934,                0.93506,                0.95327,                0.75087,                 0.9253,                0.43955,                 1.2383,               0.000218,               0.000218,               0.000218
                     93,                0.54671,                0.29234,                  1.024,                0.99952,                0.94805,                0.96063,                0.74139,                0.91361,                0.43286,                 1.2205,              0.0001982,              0.0001982,              0.0001982
                     94,                0.53367,                0.27705,                 1.0166,                      1,                0.94756,                0.96724,                0.76153,                 0.8864,                0.42082,                 1.2261,              0.0001784,              0.0001784,              0.0001784
                     95,                0.51221,                0.26183,                0.99777,                      1,                0.93411,                0.96361,                0.76352,                0.90039,                0.45087,                 1.2179,              0.0001586,              0.0001586,              0.0001586
                     96,                0.48987,                0.26844,                0.99045,                      1,                0.93395,                0.95914,                0.76486,                0.88995,                0.44986,                 1.2132,              0.0001388,              0.0001388,              0.0001388
                     97,                0.49869,                0.26628,                0.98397,                0.99858,                0.92208,                0.96094,                0.74915,                 0.9207,                0.46182,                 1.2215,               0.000119,               0.000119,               0.000119
                     98,                 0.5044,                0.26153,                0.99421,                      1,                0.93427,                0.96215,                0.75248,                0.89986,                0.42998,                 1.2183,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.49374,                0.25227,                0.99783,                0.99967,                0.94805,                0.96271,                0.75909,                0.88255,                 0.4255,                 1.2038,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.47409,                  0.249,                0.98103,                      1,                0.93431,                0.96229,                0.75915,                 0.8914,                0.41615,                 1.2119,               5.96e-05,               5.96e-05,               5.96e-05
