                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.61354,                0.38666,                 1.1501,                0.99933,                      1,                  0.995,                0.77382,                 0.8399,                0.37866,                 1.5296,               0.000614,               0.000614,               0.000614
                     37,                0.64219,                0.38775,                 1.1598,                0.99829,                      1,                  0.995,                0.79459,                0.80168,                0.35055,                 1.5048,              0.0005744,              0.0005744,              0.0005744
                     38,                0.60917,                0.39009,                 1.1471,                0.99789,                      1,                  0.995,                0.78279,                0.79824,                0.38895,                 1.5208,              0.0005348,              0.0005348,              0.0005348
                     39,                0.56104,                0.36153,                 1.1077,                      1,                0.99701,                  0.995,                0.79299,                 0.7865,                0.36747,                 1.5031,              0.0004952,              0.0004952,              0.0004952
                     40,                0.57612,                0.37527,                 1.1239,                0.99446,                      1,                  0.995,                0.79664,                0.81022,                0.42991,                 1.5565,              0.0004556,              0.0004556,              0.0004556
                     41,                0.47346,                0.35096,                 1.1322,                0.99857,                      1,                  0.995,                0.80156,                0.78801,                0.38469,                 1.5142,               0.000416,               0.000416,               0.000416
                     42,                0.41582,                0.30316,                    1.1,                0.99749,                      1,                  0.995,                0.78952,                0.78971,                0.38932,                 1.5387,              0.0003764,              0.0003764,              0.0003764
                     43,                0.43416,                0.29744,                 1.1041,                0.99828,                      1,                  0.995,                0.80571,                0.74358,                0.36583,                 1.4662,              0.0003368,              0.0003368,              0.0003368
                     44,                0.41496,                0.29012,                 1.0788,                0.99776,                      1,                  0.995,                0.80235,                0.79249,                  0.334,                  1.538,              0.0002972,              0.0002972,              0.0002972
                     45,                0.41191,                0.27243,                 1.0835,                0.99813,                      1,                  0.995,                0.79504,                 0.7836,                0.33725,                 1.5031,              0.0002576,              0.0002576,              0.0002576
                     46,                0.39371,                0.27549,                 1.0734,                0.99806,                      1,                  0.995,                0.78786,                0.82007,                0.36016,                 1.5289,               0.000218,               0.000218,               0.000218
                     47,                0.38862,                0.26163,                 1.0553,                0.99808,                      1,                  0.995,                0.78833,                0.80454,                0.34985,                 1.5179,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.3746,                 0.2593,                 1.0493,                0.99801,                      1,                  0.995,                 0.8036,                0.77468,                0.35501,                 1.4653,              0.0001388,              0.0001388,              0.0001388
                     49,                0.36981,                  0.252,                 1.0385,                0.99775,                      1,                  0.995,                0.79487,                0.80465,                0.37847,                 1.5035,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.37221,                0.25361,                  1.054,                0.99792,                      1,                  0.995,                0.79057,                0.79698,                0.35903,                 1.5212,               5.96e-05,               5.96e-05,               5.96e-05
